name,salary_from,salary_to,salary_currency,area_name,published_at
IT аналитик,35000.0,45000.0,RUR,Санкт-Петербург,2007-12-03T17:34:36+0300
Аналитик-проектировщик ПО,55000.0,60000.0,RUR,Санкт-Петербург,2007-12-03T17:40:09+0300
