name,salary_from,salary_to,salary_currency,area_name,published_at
Специалист по DIRECTUM,50000.0,100000.0,RUR,Москва,2010-01-26T01:53:39+0300
Инженер по телекоммуникациям,15000.0,25000.0,RUR,Воронеж,2010-03-23T17:16:02+0300
Менеджер по продажам компьютерной техники,15000.0,20000.0,RUR,Ижевск,2010-01-26T08:04:53+0300
Менеджер по продажам компьютерной техники,15000.0,20000.0,RUR,Ижевск,2010-02-08T08:23:12+0300
Ведущий менеджер центров обслуживания клиентов,15000.0,31000.0,RUR,Самара,2010-01-26T08:47:43+0300
Руководитель группы оперативного управления цифровой сетью,60000.0,70000.0,RUR,Москва,2010-02-15T10:51:06+0300
Инженер АСУ,35000.0,50000.0,RUR,Санкт-Петербург,2010-01-26T09:17:36+0300
Программист 1С,80000.0,100000.0,RUR,Москва,2010-02-19T12:07:44+0300
Инженер технической поддержки,30000.0,35000.0,RUR,Москва,2010-02-11T11:39:04+0300
Инженер технической поддержки,35000.0,40000.0,RUR,Москва,2010-01-26T09:51:10+0300
Специалист (поддержка 1С),40000.0,40000.0,RUR,Самара,2010-01-26T09:51:53+0300
